adult,genres,id,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,status,title,vote_average,vote_count,likeable
0,35,1175306,28.0,0.013248041826887227,210842,144.0,0,28.0,1,Me Vuelves Loca,0.8,0.0026538206363400352,1
0,16,664767,26.0,0.015888955017242617,2785,235.0,80,26.0,1,Mortal Kombat Legends: Scorpion's Revenge,0.8,0.03752848530302593,1
0,12,818110,26.0,0.013027707780211865,169950,83.0,125,23.0,1,The Magic Flute,0.6000000000000001,0.002019211353736983,0
0,27,9552,26.0,0.017757010660734818,48184,235.0,122,23.0,1,The Exorcist,0.8,0.2127960308073961,1
0,16,675445,26.0,0.014705820280018406,71738,40.0,86,26.0,1,PAW Patrol: The Movie,0.7000000000000001,0.033403524966106095,0
0,12,672,26.0,0.0193325538629511,174,234.0,161,26.0,1,Harry Potter and the Chamber of Secrets,0.8,0.5913116220036346,1
0,878,1081400,26.0,0.01927655581022007,148042,235.0,106,26.0,1,The Mill,0.6000000000000001,0.0005192257766752242,0
0,35,987917,26.0,0.027837082248195193,109715,235.0,102,26.0,1,Old Dads,0.6000000000000001,0.002942279401159604,0
0,27,746339,35.0,0.014782078934742572,None,22.0,103,35.0,1,Ogre,0.5,0.0010961433063143623,0
0,878,1103825,26.0,0.014305814089278907,200553,234.0,87,26.0,1,War of the Worlds : The Attack,0.5,0.003951885078028096,0
0,28,566525,26.0,0.015436749636645802,420,235.0,132,26.0,1,Shang-Chi and the Legend of the Ten Rings,0.8,0.24674762742665934,1
0,28,1149381,83.0,0.01577231585715713,54734,177.0,99,83.0,1,Soulcatcher,0.7000000000000001,0.006288401073066605,0
0,99,1168842,26.0,0.012430160720039284,86233,235.0,80,26.0,1,Monster Inside: America's Most Extreme Haunted House,0.7000000000000001,0.0002596128883376121,0
0,53,985939,26.0,0.016296558933729544,155758,235.0,107,26.0,1,Fall,0.7000000000000001,0.09435486197248104,1
0,12,157336,26.0,0.01750769269731927,923,234.0,169,26.0,1,Interstellar,0.8,0.9457120604609571,1
0,12,493529,26.0,0.01652012904877881,8147,40.0,134,26.0,1,Dungeons & Dragons: Honor Among Thieves,0.7000000000000001,0.07223007471082009,0
0,80,414906,26.0,0.018956747835703405,101405,235.0,177,26.0,1,The Batman,0.8,0.25130527591080853,1
0,35,866346,26.0,0.026702488536579534,5486,235.0,103,26.0,1,The Retirement Plan,0.6000000000000001,0.0016153690829895867,0
0,27,644124,50.0,0.015199953850851017,56151,110.0,109,26.0,1,Dampyr,0.6000000000000001,0.0026249747598580783,0
0,28,1061181,52.0,0.01376145110933831,882,112.0,0,52.0,1,Kingdom 3: The Flame of Fate,0.8,0.002076903106700897,1
0,35,1172676,26.0,0.009987913988116597,23449,235.0,17,26.0,1,Poison,0.7000000000000001,0.0050191825078605016,0
0,27,1129932,28.0,0.011546291958088695,None,144.0,93,28.0,1,Rage,0.6000000000000001,0.0002596128883376121,0
0,16,808,26.0,0.0177231022921213,7,235.0,90,26.0,1,Shrek,0.8,0.45778405976865605,1
0,27,709631,26.0,0.013200626390278289,16615,235.0,88,26.0,1,Cobweb,0.7000000000000001,0.012836415034470822,0
0,28,588228,26.0,0.0127108544768192,82819,235.0,138,26.0,1,The Tomorrow War,0.8,0.08287420313266218,1
